"cty","Name","Household_Income_rP_gP_p25"
"cty48059","Callahan County, TX",37957
"cty42129","Westmoreland County, PA",37954
"cty06043","Mariposa County, CA",37952
"cty32007","Elko County, NV",37951
"cty55047","Green Lake County, WI",37940
"cty51013","Arlington County, VA",37934
"cty08073","Lincoln County, CO",37931
"cty50023","Washington County, VT",37912
"cty29003","Andrew County, MO",37904
"cty48239","Jackson County, TX",37897
"cty48415","Scurry County, TX",37897
"cty51735","Poquoson city, VA",37876
"cty55117","Sheboygan County, WI",37874
"cty22085","Sabine Parish, LA",37869
"cty48377","Presidio County, TX",37867
"cty25007","Dukes County, MA",37846
"cty17111","McHenry County, IL",37844
"cty16017","Bonner County, ID",37829
"cty19039","Clarke County, IA",37823
"cty22123","West Carroll Parish, LA",37819
"cty39055","Geauga County, OH",37816
"cty55115","Shawano County, WI",37791
"cty27035","Crow Wing County, MN",37784
"cty42065","Jefferson County, PA",37773
"cty34035","Somerset County, NJ",37758
"cty29135","Moniteau County, MO",37756
"cty06059","Orange County, CA",37753
"cty39011","Auglaize County, OH",37750
"cty40029","Coal County, OK",37733
"cty06061","Placer County, CA",37733
"cty41037","Lake County, OR",37709
"cty08081","Moffat County, CO",37692
"cty20097","Kiowa County, KS",37686
"cty30053","Lincoln County, MT",37682
"cty48087","Collingsworth County, TX",37677
"cty31157","Scotts Bluff County, NE",37674
"cty29171","Putnam County, MO",37673
"cty55039","Fond du Lac County, WI",37673
"cty17155","Putnam County, IL",37672
"cty19115","Louisa County, IA",37667
"cty48047","Brooks County, TX",37661
"cty19099","Jasper County, IA",37646
"cty19007","Appanoose County, IA",37630
"cty55007","Bayfield County, WI",37608
"cty32015","Lander County, NV",37608
"cty55041","Forest County, WI",37604
"cty49021","Iron County, UT",37594
"cty30093","Silver Bow County, MT",37585
"cty48111","Dallam County, TX",37574
"cty18147","Spencer County, IN",37566
"cty42115","Susquehanna County, PA",37564
"cty41049","Morrow County, OR",37562
"cty51091","Highland County, VA",37551
"cty29033","Carroll County, MO",37539
"cty48249","Jim Wells County, TX",37535
"cty48427","Starr County, TX",37528
"cty19045","Clinton County, IA",37524
"cty18027","Daviess County, IN",37524
"cty48151","Fisher County, TX",37518
"cty55027","Dodge County, WI",37505
"cty18181","White County, IN",37494
"cty20003","Anderson County, KS",37493
"cty16031","Cassia County, ID",37488
"cty08037","Eagle County, CO",37487
"cty30111","Yellowstone County, MT",37470
"cty08069","Larimer County, CO",37460
"cty48391","Refugio County, TX",37455
"cty42025","Carbon County, PA",37444
"cty31153","Sarpy County, NE",37425
"cty08097","Pitkin County, CO",37422
"cty48381","Randall County, TX",37394
"cty27075","Lake County, MN",37392
"cty22059","LaSalle Parish, LA",37371
"cty17109","McDonough County, IL",37369
"cty30029","Flathead County, MT",37367
"cty24027","Howard County, MD",37366
"cty40017","Canadian County, OK",37352
"cty39067","Harrison County, OH",37342
"cty16085","Valley County, ID",37339
"cty17173","Shelby County, IL",37319
"cty55037","Florence County, WI",37312
"cty27003","Anoka County, MN",37294
"cty09013","Tolland County, CT",37289
"cty32005","Douglas County, NV",37270
"cty55083","Oconto County, WI",37267
"cty53051","Pend Oreille County, WA",37262
"cty46109","Roberts County, SD",37261
"cty16087","Washington County, ID",37258
"cty28039","George County, MS",37253
"cty24013","Carroll County, MD",37251
"cty30089","Sanders County, MT",37228
"cty53055","San Juan County, WA",37227
"cty40139","Texas County, OK",37211
"cty06091","Sierra County, CA",37201
"cty16067","Minidoka County, ID",37196
"cty16013","Blaine County, ID",37185
"cty40067","Jefferson County, OK",37178
"cty16047","Gooding County, ID",37173
"cty55063","La Crosse County, WI",37171
"cty55021","Columbia County, WI",37170
"cty40103","Noble County, OK",37166
"cty15003","Honolulu County, HI",37160
"cty42021","Cambria County, PA",37131
"cty42001","Adams County, PA",37116
"cty16073","Owyhee County, ID",37115
"cty55013","Burnett County, WI",37113
"cty46065","Hughes County, SD",37100
"cty54001","Barbour County, WV",37099
"cty17073","Henry County, IL",37092
"cty48179","Gray County, TX",37091
"cty42015","Bradford County, PA",37083
"cty46099","Minnehaha County, SD",37069
"cty54051","Marshall County, WV",37069
"cty54093","Tucker County, WV",37066
"cty48199","Hardin County, TX",37060
"cty48465","Val Verde County, TX",37032
"cty48093","Comanche County, TX",37029
"cty08007","Archuleta County, CO",37026
"cty16077","Power County, ID",37018
"cty42097","Northumberland County, PA",37016
"cty40011","Blaine County, OK",37000
"cty20121","Miami County, KS",36985
"cty06027","Inyo County, CA",36975
"cty31079","Hall County, NE",36969
"cty32033","White Pine County, NV",36967
"cty34041","Warren County, NJ",36957
"cty49035","Salt Lake County, UT",36946
"cty17059","Gallatin County, IL",36940
"cty17093","Kendall County, IL",36938
"cty16061","Lewis County, ID",36936
"cty48143","Erath County, TX",36930
"cty48085","Collin County, TX",36925
"cty17171","Scott County, IL",36920
"cty08087","Morgan County, CO",36910
"cty56043","Washakie County, WY",36909
"cty42111","Somerset County, PA",36904
"cty20093","Kearny County, KS",36890
"cty08059","Jefferson County, CO",36883
"cty36091","Saratoga County, NY",36873
"cty48307","McCulloch County, TX",36865
"cty34029","Ocean County, NJ",36862
"cty23021","Piscataquis County, ME",36845
"cty48255","Karnes County, TX",36835
"cty33015","Rockingham County, NH",36834
"cty53033","King County, WA",36832
"cty06057","Nevada County, CA",36830
"cty22113","Vermilion Parish, LA",36819
"cty29157","Perry County, MO",36811
"cty17075","Iroquois County, IL",36806
"cty36031","Essex County, NY",36801
"cty42027","Centre County, PA",36798
"cty17203","Woodford County, IL",36793
"cty20077","Harper County, KS",36787
"cty27137","St. Louis County, MN",36785
"cty48323","Maverick County, TX",36783
"cty48193","Hamilton County, TX",36774
"cty48275","Knox County, TX",36774
"cty48197","Hardeman County, TX",36762
"cty08077","Mesa County, CO",36730
"cty40069","Johnston County, OK",36719
"cty34025","Monmouth County, NJ",36703
"cty48039","Brazoria County, TX",36697
"cty20139","Osage County, KS",36693
"cty08071","Las Animas County, CO",36691
"cty48125","Dickens County, TX",36689
"cty26131","Ontonagon County, MI",36668
"cty17011","Bureau County, IL",36655
"cty36119","Westchester County, NY",36654
"cty20145","Pawnee County, KS",36650
"cty29139","Montgomery County, MO",36643
"cty53001","Adams County, WA",36643
"cty17157","Randolph County, IL",36628
"cty27095","Mille Lacs County, MN",36581
"cty48397","Rockwall County, TX",36581
"cty42041","Cumberland County, PA",36577
"cty25001","Barnstable County, MA",36569
"cty48017","Bailey County, TX",36560
"cty42047","Elk County, PA",36549
"cty48227","Howard County, TX",36546
"cty24023","Garrett County, MD",36532
"cty50011","Franklin County, VT",36497
"cty53061","Snohomish County, WA",36483
"cty39013","Belmont County, OH",36483
"cty31047","Dawson County, NE",36478
"cty42061","Huntingdon County, PA",36473
"cty25015","Hampshire County, MA",36462
"cty42107","Schuylkill County, PA",36446
"cty48081","Coke County, TX",36433
"cty16055","Kootenai County, ID",36431
"cty47127","Moore County, TN",36424
"cty55081","Monroe County, WI",36419
"cty35059","Union County, NM",36415
"cty29211","Sullivan County, MO",36398
"cty42033","Clearfield County, PA",36395
"cty55057","Juneau County, WI",36361
"cty16045","Gem County, ID",36358
"cty25009","Essex County, MA",36355
"cty55085","Oneida County, WI",36355
"cty19187","Webster County, IA",36354
"cty06079","San Luis Obispo County, CA",36345
"cty08013","Boulder County, CO",36330
"cty48071","Chambers County, TX",36328
"cty21027","Breckinridge County, KY",36328
"cty30077","Powell County, MT",36326
"cty55035","Eau Claire County, WI",36321
"cty20043","Doniphan County, KS",36321
"cty20207","Woodson County, KS",36320
"cty39051","Fulton County, OH",36316
"cty40099","Murray County, OK",36313
"cty25023","Plymouth County, MA",36313
"cty54077","Preston County, WV",36308
"cty55009","Brown County, WI",36307
"cty50019","Orleans County, VT",36307
"cty29137","Monroe County, MO",36292
"cty55075","Marinette County, WI",36290
"cty48191","Hall County, TX",36288
"cty06093","Siskiyou County, CA",36285
"cty18051","Gibson County, IN",36284
"cty29049","Clinton County, MO",36277
"cty16053","Jerome County, ID",36274
"cty06109","Tuolumne County, CA",36269
"cty20019","Chautauqua County, KS",36264
"cty29061","Daviess County, MO",36263
"cty42069","Lackawanna County, PA",36257
"cty42029","Chester County, PA",36246
"cty48077","Clay County, TX",36243
"cty27071","Koochiching County, MN",36233
"cty29183","St. Charles County, MO",36227
"cty17147","Piatt County, IL",36218
"cty48219","Hockley County, TX",36190
"cty40087","McClain County, OK",36188
"cty20133","Neosho County, KS",36181
"cty17191","Wayne County, IL",36180
"cty29025","Caldwell County, MO",36179
"cty09007","Middlesex County, CT",36171
"cty53029","Island County, WA",36166
"cty48115","Dawson County, TX",36144
"cty39037","Darke County, OH",36133
"cty17069","Hardin County, IL",36129
"cty48123","DeWitt County, TX",36125
"cty02195","Petersburg Borough, AK",36114
"cty48493","Wilson County, TX",36109
"cty16083","Twin Falls County, ID",36108
"cty17103","Lee County, IL",36104
"cty46075","Jones County, SD",36096
"cty49007","Carbon County, UT",36083
"cty48369","Parmer County, TX",36069
"cty26151","Sanilac County, MI",36069
"cty06049","Modoc County, CA",36063
"cty29129","Mercer County, MO",36056
"cty04011","Greenlee County, AZ",36038
"cty48097","Cooke County, TX",36014
"cty39103","Medina County, OH",36005
"cty36039","Greene County, NY",35977
"cty06001","Alameda County, CA",35967
"cty17035","Cumberland County, IL",35961
"cty50001","Addison County, VT",35952
"cty20107","Linn County, KS",35947
"cty40027","Cleveland County, OK",35944
"cty41003","Benton County, OR",35941
"cty56007","Carbon County, WY",35935
"cty20011","Bourbon County, KS",35934
"cty22057","Lafourche Parish, LA",35932
"cty06097","Sonoma County, CA",35926
"cty42057","Fulton County, PA",35922
"cty48321","Matagorda County, TX",35906
"cty27017","Carlton County, MN",35902
"cty26037","Clinton County, MI",35891
"cty40051","Grady County, OK",35884
"cty16015","Boise County, ID",35881
"cty34017","Hudson County, NJ",35871
"cty48057","Calhoun County, TX",35866
"cty51021","Bland County, VA",35865
"cty41061","Union County, OR",35862
"cty20075","Hamilton County, KS",35855
"cty53065","Stevens County, WA",35852
"cty48051","Burleson County, TX",35845
"cty48409","San Patricio County, TX",35839
"cty27007","Beltrami County, MN",35824
"cty55127","Walworth County, WI",35820
"cty30063","Missoula County, MT",35818
"cty40119","Payne County, OK",35818
"cty30013","Cascade County, MT",35808
"cty48007","Aransas County, TX",35803
"cty42075","Lebanon County, PA",35798
"cty18183","Whitley County, IN",35797
"cty36123","Yates County, NY",35787
"cty21155","Marion County, KY",35784
"cty48121","Denton County, TX",35778
"cty32013","Humboldt County, NV",35774
"cty40077","Latimer County, OK",35766
"cty22039","Evangeline Parish, LA",35758
"cty50013","Grand Isle County, VT",35757
"cty08119","Teller County, CO",35741
"cty40057","Harmon County, OK",35740
"cty53069","Wahkiakum County, WA",35733
"cty53073","Whatcom County, WA",35724
"cty56021","Laramie County, WY",35724
"cty48365","Panola County, TX",35718
"cty21077","Gallatin County, KY",35718
"cty50027","Windsor County, VT",35716
"cty54095","Tyler County, WV",35713
"cty13113","Fayette County, GA",35706
"cty44009","Washington County, RI",35705
"cty36095","Schoharie County, NY",35697
"cty55129","Washburn County, WI",35685
"cty36077","Otsego County, NY",35685
"cty26041","Delta County, MI",35679
"cty36025","Delaware County, NY",35669
"cty48015","Austin County, TX",35653
"cty48287","Lee County, TX",35650
"cty55077","Marquette County, WI",35644
"cty29186","Ste. Genevieve County, MO",35627
"cty42037","Columbia County, PA",35627
"cty39123","Ottawa County, OH",35616
"cty29107","Lafayette County, MO",35615
"cty39175","Wyandot County, OH",35608
"cty48339","Montgomery County, TX",35605
"cty42109","Snyder County, PA",35600
"cty41027","Hood River County, OR",35593
"cty42079","Luzerne County, PA",35589
"cty30085","Roosevelt County, MT",35587
"cty50005","Caledonia County, VT",35585
"cty40095","Marshall County, OK",35583
"cty29165","Platte County, MO",35581
"cty26071","Iron County, MI",35577
"cty48155","Foard County, TX",35575
"cty53047","Okanogan County, WA",35568
"cty09005","Litchfield County, CT",35552
"cty55053","Jackson County, WI",35550
"cty17083","Jersey County, IL",35550
"cty48491","Williamson County, TX",35544
"cty29121","Macon County, MO",35544
"cty08005","Arapahoe County, CO",35542
"cty55111","Sauk County, WI",35536
"cty48341","Moore County, TX",35523
"cty50021","Rutland County, VT",35521
"cty48367","Parker County, TX",35517
"cty40117","Pawnee County, OK",35514
"cty16019","Bonneville County, ID",35513
"cty48159","Franklin County, TX",35508
"cty42009","Bedford County, PA",35498
"cty48273","Kleberg County, TX",35495
"cty20205","Wilson County, KS",35489
"cty39125","Paulding County, OH",35473
"cty33011","Hillsborough County, NH",35472
"cty40137","Stephens County, OK",35471
"cty48431","Sterling County, TX",35463
"cty29185","St. Clair County, MO",35461
"cty25027","Worcester County, MA",35457
"cty49045","Tooele County, UT",35440
"cty42071","Lancaster County, PA",35439
"cty51127","New Kent County, VA",35426
"cty54097","Upshur County, WV",35420
"cty39019","Carroll County, OH",35415
"cty29001","Adair County, MO",35411
"cty26089","Leelanau County, MI",35396
"cty21215","Spencer County, KY",35395
"cty29081","Harrison County, MO",35394
"cty48457","Tyler County, TX",35391
"cty72097","Mayaguez Municipio, PR",35388
"cty08047","Gilpin County, CO",35378
"cty17175","Stark County, IL",35372
"cty29177","Ray County, MO",35372
"cty29199","Scotland County, MO",35369
"cty17159","Richland County, IL",35365
"cty27021","Cass County, MN",35359
"cty48499","Wood County, TX",35354
"cty48069","Castro County, TX",35350
"cty16009","Benewah County, ID",35349
"cty18001","Adams County, IN",35349
"cty18131","Pulaski County, IN",35347
"cty55003","Ashland County, WI",35343
"cty29089","Howard County, MO",35340
"cty29115","Linn County, MO",35333
"cty54063","Monroe County, WV",35328
"cty48417","Shackelford County, TX",35322
"cty42083","McKean County, PA",35314
"cty05087","Madison County, AR",35311
"cty40061","Haskell County, OK",35302
"cty55139","Winnebago County, WI",35295
"cty48253","Jones County, TX",35292
"cty29057","Dade County, MO",35290
"cty53007","Chelan County, WA",35284
"cty28041","Greene County, MS",35282
"cty06013","Contra Costa County, CA",35266
"cty48079","Cochran County, TX",35261
"cty42039","Crawford County, PA",35261
"cty41001","Baker County, OR",35255
"cty48127","Dimmit County, TX",35252
"cty23007","Franklin County, ME",35247
"cty06009","Calaveras County, CA",35245
"cty17135","Montgomery County, IL",35241
"cty53031","Jefferson County, WA",35239
"cty48161","Freestone County, TX",35228
"cty29011","Barton County, MO",35225
"cty18057","Hamilton County, IN",35223
"cty17061","Greene County, IL",35222
"cty08099","Prowers County, CO",35221
"cty42055","Franklin County, PA",35221
"cty36001","Albany County, NY",35202
"cty30049","Lewis and Clark County, MT",35198
"cty22011","Beauregard Parish, LA",35182
"cty17117","Macoupin County, IL",35176
"cty21185","Oldham County, KY",35176
"cty48157","Fort Bend County, TX",35171
"cty49057","Weber County, UT",35154
"cty19113","Linn County, IA",35149
"cty15007","Kauai County, HI",35132
"cty36099","Seneca County, NY",35122
"cty48013","Atascosa County, TX",35122
"cty53049","Pacific County, WA",35121
"cty53057","Skagit County, WA",35117
"cty26011","Arenac County, MI",35106
"cty40131","Rogers County, OK",35105
"cty21233","Webster County, KY",35086
"cty23031","York County, ME",35079
"cty31109","Lancaster County, NE",35069
"cty20161","Riley County, KS",35067
"cty36051","Livingston County, NY",35064
"cty48399","Runnels County, TX",35057
"cty17033","Crawford County, IL",35055
"cty02100","Haines Borough, AK",35045
"cty42073","Lawrence County, PA",35037
"cty42093","Montour County, PA",35032
"cty18137","Ripley County, IN",35025
"cty51683","Manassas city, VA",35019
"cty17187","Warren County, IL",35015
"cty22007","Assumption Parish, LA",35013
"cty53017","Douglas County, WA",35009
"cty20191","Sumner County, KS",35004
"cty08085","Montrose County, CO",35004
"cty55069","Lincoln County, WI",35002
"cty40049","Garvin County, OK",34991
"cty53013","Columbia County, WA",34983
"cty51043","Clarke County, VA",34971
"cty54021","Gilmer County, WV",34970
"cty33009","Grafton County, NH",34969
"cty42007","Beaver County, PA",34959
"cty31173","Thurston County, NE",34957
"cty27123","Ramsey County, MN",34953
"cty26139","Ottawa County, MI",34953
"cty50015","Lamoille County, VT",34945
"cty33003","Carroll County, NH",34937
"cty20099","Labette County, KS",34930
"cty22109","Terrebonne Parish, LA",34928
"cty20015","Butler County, KS",34923
"cty25005","Bristol County, MA",34916
"cty29227","Worth County, MO",34907
"cty29037","Cass County, MO",34894
"cty55067","Langlade County, WI",34894
"cty06055","Napa County, CA",34893
"cty26119","Montmorency County, MI",34891
"cty17129","Menard County, IL",34890
"cty26047","Emmet County, MI",34882
"cty12043","Glades County, FL",34876
"cty55031","Douglas County, WI",34874
"cty15009","Maui County, HI",34874
"cty20079","Harvey County, KS",34869
"cty21177","Muhlenberg County, KY",34868
"cty48243","Jeff Davis County, TX",34866
"cty53005","Benton County, WA",34861
"cty48083","Coleman County, TX",34859
"cty17063","Grundy County, IL",34857
"cty42053","Forest County, PA",34853
"cty06113","Yolo County, CA",34848
"cty53019","Ferry County, WA",34845
"cty30005","Blaine County, MT",34838
"cty05025","Cleveland County, AR",34835
"cty17141","Ogle County, IL",34833
"cty22089","St. Charles Parish, LA",34830
"cty54103","Wetzel County, WV",34823
"cty54071","Pendleton County, WV",34817
"cty18047","Franklin County, IN",34815
"cty48507","Zavala County, TX",34789
"cty41005","Clackamas County, OR",34773
"cty30023","Deer Lodge County, MT",34773
"cty44003","Kent County, RI",34769
"cty06051","Mono County, CA",34767
"cty42045","Delaware County, PA",34762
"cty47187","Williamson County, TN",34750
"cty18111","Newton County, IN",34750
"cty05101","Newton County, AR",34749
"cty22001","Acadia Parish, LA",34747
"cty42035","Clinton County, PA",34746
"cty24021","Frederick County, MD",34736
"cty06011","Colusa County, CA",34735
"cty48299","Llano County, TX",34730
"cty40105","Nowata County, OK",34729
"cty16069","Nez Perce County, ID",34729
"cty48215","Hidalgo County, TX",34722
"cty34015","Gloucester County, NJ",34719
"cty39157","Tuscarawas County, OH",34718
"cty48091","Comal County, TX",34716
"cty51085","Hanover County, VA",34709
"cty50003","Bennington County, VT",34698
"cty08109","Saguache County, CO",34698
"cty06063","Plumas County, CA",34691
"cty24009","Calvert County, MD",34688
"cty51153","Prince William County, VA",34687
"cty17105","Livingston County, IL",34676
"cty42089","Monroe County, PA",34670
"cty18179","Wells County, IN",34667
"cty21007","Ballard County, KY",34662
"cty21183","Ohio County, KY",34658
"cty36027","Dutchess County, NY",34646
"cty50017","Orange County, VT",34626
"cty29173","Ralls County, MO",34613
"cty39173","Wood County, OH",34607
"cty42077","Lehigh County, PA",34600
"cty51023","Botetourt County, VA",34600
"cty29067","Douglas County, MO",34593
"cty48361","Orange County, TX",34588
"cty55137","Waushara County, WI",34584
"cty54007","Braxton County, WV",34584
"cty53039","Klickitat County, WA",34577
"cty36043","Herkimer County, NY",34576
"cty48385","Real County, TX",34568
"cty42051","Fayette County, PA",34568
"cty29153","Ozark County, MO",34555
"cty18121","Parke County, IN",34546
"cty42095","Northampton County, PA",34541
"cty25011","Franklin County, MA",34539
"cty26043","Dickinson County, MI",34538
"cty36037","Genesee County, NY",34518
"cty18101","Martin County, IN",34518
"cty48251","Johnson County, TX",34512
"cty17169","Schuyler County, IL",34512
"cty06101","Sutter County, CA",34510
"cty54017","Doddridge County, WV",34507
"cty18127","Porter County, IN",34506
"cty54101","Webster County, WV",34503
"cty36053","Madison County, NY",34498
"cty40083","Logan County, OK",34486
"cty51171","Shenandoah County, VA",34480
"cty36069","Ontario County, NY",34479
"cty26113","Missaukee County, MI",34476
"cty42081","Lycoming County, PA",34475
"cty41067","Washington County, OR",34473
"cty48291","Liberty County, TX",34471
"cty19127","Marshall County, IA",34467
"cty04025","Yavapai County, AZ",34461
"cty48411","San Saba County, TX",34460
"cty54061","Monongalia County, WV",34450
"cty48229","Hudspeth County, TX",34438
"cty06083","Santa Barbara County, CA",34435
"cty40085","Love County, OK",34434
"cty34039","Union County, NJ",34427
"cty09001","Fairfield County, CT",34425
"cty26103","Marquette County, MI",34404
"cty17037","DeKalb County, IL",34400
"cty29149","Oregon County, MO",34398
"cty18171","Warren County, IN",34395
"cty06037","Los Angeles County, CA",34391
"cty21143","Lyon County, KY",34387
"cty36101","Steuben County, NY",34386
"cty18063","Hendricks County, IN",34382
"cty48331","Milam County, TX",34367
"cty17099","LaSalle County, IL",34354
"cty05137","Stone County, AR",34353
"cty08043","Fremont County, CO",34343
"cty36111","Ulster County, NY",34338
"cty26093","Livingston County, MI",34333
"cty16001","Ada County, ID",34325
"cty41017","Deschutes County, OR",34324
"cty48459","Upshur County, TX",34320
"cty36115","Washington County, NY",34317
"cty17021","Christian County, IL",34311
"cty18161","Union County, IN",34304
"cty21219","Todd County, KY",34303
"cty05015","Carroll County, AR",34297
"cty26055","Grand Traverse County, MI",34290
"cty05129","Searcy County, AR",34287
"cty02150","Kodiak Island Borough, AK",34284
"cty39069","Henry County, OH",34284
"cty48467","Van Zandt County, TX",34276
"cty30041","Hill County, MT",34275
"cty55025","Dane County, WI",34267
"cty48429","Stephens County, TX",34267
"cty48271","Kinney County, TX",34267
"cty51510","Alexandria city, VA",34266
"cty48221","Hood County, TX",34251
"cty24035","Queen Anne's County, MD",34251
"cty29015","Benton County, MO",34248
"cty08083","Montezuma County, CO",34242
"cty50007","Chittenden County, VT",34240
"cty48325","Medina County, TX",34239
"cty48025","Bee County, TX",34230
"cty20111","Lyon County, KS",34223
"cty08123","Weld County, CO",34215
"cty54041","Lewis County, WV",34208
"cty17051","Fayette County, IL",34208
"cty19013","Black Hawk County, IA",34208
"cty54049","Marion County, WV",34199
"cty35003","Catron County, NM",34195
"cty29043","Christian County, MO",34184
"cty18045","Fountain County, IN",34183
"cty40047","Garfield County, OK",34181
"cty53025","Grant County, WA",34178
"cty29047","Clay County, MO",34178
"cty36083","Rensselaer County, NY",34175
"cty19139","Muscatine County, IA",34175
"cty21115","Johnson County, KY",34171
"cty48469","Victoria County, TX",34171
"cty34009","Cape May County, NJ",34169
"cty48247","Jim Hogg County, TX",34166
"cty01075","Lamar County, AL",34164
"cty18123","Perry County, IN",34158
"cty26099","Macomb County, MI",34154
"cty06035","Lassen County, CA",34150
"cty39085","Lake County, OH",34149
"cty41007","Clatsop County, OR",34144
"cty27053","Hennepin County, MN",34143
"cty35027","Lincoln County, NM",34143
"cty29079","Grundy County, MO",34134
"cty18083","Knox County, IN",34131
"cty53011","Clark County, WA",34128
"cty05141","Van Buren County, AR",34125
"cty17001","Adams County, IL",34124
"cty36113","Warren County, NY",34117
"cty36089","St. Lawrence County, NY",34115
"cty20037","Crawford County, KS",34111
"cty06111","Ventura County, CA",34111
"cty16039","Elmore County, ID",34111
"cty02240","Southeast Fairbanks Census Area, AK",34110
"cty21123","Larue County, KY",34107
"cty26003","Alger County, MI",34101
"cty39159","Union County, OH",34100
"cty16005","Bannock County, ID",34097
"cty51115","Mathews County, VA",34095
"cty18085","Kosciusko County, IN",34095
"cty51199","York County, VA",34094
"cty48169","Garza County, TX",34094
"cty29053","Cooper County, MO",34093
"cty21055","Crittenden County, KY",34082
"cty51063","Floyd County, VA",34077
"cty47137","Pickett County, TN",34073
"cty06105","Trinity County, CA",34073
"cty18015","Carroll County, IN",34068
"cty05007","Benton County, AR",34060
"cty48223","Hopkins County, TX",34054
"cty21087","Green County, KY",34047
"cty22005","Ascension Parish, LA",34043
"cty42099","Perry County, PA",34043
"cty36029","Erie County, NY",34033
"cty48163","Frio County, TX",34027
"cty40033","Cotton County, OK",34023
"cty31043","Dakota County, NE",34021
"cty46103","Pennington County, SD",34018
"cty21229","Washington County, KY",34004
"cty36009","Cattaraugus County, NY",34000
"cty17039","De Witt County, IL",33997
"cty19111","Lee County, IA",33993
"cty22053","Jefferson Davis Parish, LA",33987
"cty54105","Wirt County, WV",33982
"cty17123","Marshall County, IL",33982
"cty51165","Rockingham County, VA",33975
"cty21157","Marshall County, KY",33966
"cty17107","Logan County, IL",33962
"cty36065","Oneida County, NY",33959
"cty21225","Union County, KY",33940
"cty39083","Knox County, OH",33938
"cty50025","Windham County, VT",33935
"cty20045","Douglas County, KS",33932
"cty19193","Woodbury County, IA",33928
"cty33013","Merrimack County, NH",33920
"cty30047","Lake County, MT",33919
"cty19153","Polk County, IA",33914
"cty48437","Swisher County, TX",33910
"cty44005","Newport County, RI",33908
"cty35033","Mora County, NM",33901
"cty29051","Cole County, MO",33897
"cty51570","Colonial Heights city, VA",33880
"cty18173","Warrick County, IN",33866
"cty39169","Wayne County, OH",33864
"cty42123","Warren County, PA",33858
"cty21149","McLean County, KY",33856
"cty29163","Pike County, MO",33850
"cty48061","Cameron County, TX",33847
"cty51179","Stafford County, VA",33829
"cty13219","Oconee County, GA",33825
"cty05113","Polk County, AR",33821
"cty41057","Tillamook County, OR",33818
"cty19155","Pottawattamie County, IA",33815
"cty36071","Orange County, NY",33808
"cty29219","Warren County, MO",33798
"cty06073","San Diego County, CA",33796
"cty29083","Henry County, MO",33796
"cty26153","Schoolcraft County, MI",33789
"cty18061","Harrison County, IN",33781
"cty42003","Allegheny County, PA",33780
"cty20035","Cowley County, KS",33770
"cty36109","Tompkins County, NY",33766
"cty36057","Montgomery County, NY",33759
"cty18129","Posey County, IN",33759
"cty48089","Colorado County, TX",33755
"cty23005","Cumberland County, ME",33750
"cty54015","Clay County, WV",33748
"cty06095","Solano County, CA",33745
"cty41055","Sherman County, OR",33745
"cty21169","Metcalfe County, KY",33736
"cty34031","Passaic County, NJ",33730
"cty18115","Ohio County, IN",33720
"cty23003","Aroostook County, ME",33703
"cty06029","Kern County, CA",33701
"cty53063","Spokane County, WA",33700
"cty17055","Franklin County, IL",33700
"cty53035","Kitsap County, WA",33699
"cty05145","White County, AR",33697
"cty39039","Defiance County, OH",33695
"cty53067","Thurston County, WA",33686
"cty48281","Lampasas County, TX",33685
"cty22003","Allen Parish, LA",33683
"cty40141","Tillman County, OK",33677
"cty17195","Whiteside County, IL",33674
"cty48353","Nolan County, TX",33663
"cty13135","Gwinnett County, GA",33660
"cty48117","Deaf Smith County, TX",33657
"cty55051","Iron County, WI",33650
"cty29203","Shannon County, MO",33648
"cty23015","Lincoln County, ME",33646
"cty17009","Brown County, IL",33646
"cty42011","Berks County, PA",33644
"cty54109","Wyoming County, WV",33636
"cty36019","Clinton County, NY",33634
"cty51015","Augusta County, VA",33633
"cty40035","Craig County, OK",33623
"cty37055","Dare County, NC",33621
"cty13057","Cherokee County, GA",33616
"cty06089","Shasta County, CA",33612
"cty18099","Marshall County, IN",33612
"cty54033","Harrison County, WV",33600
"cty13311","White County, GA",33584
"cty51003","Albemarle County, VA",33579
"cty42085","Mercer County, PA",33577
"cty06067","Sacramento County, CA",33572
"cty48463","Uvalde County, TX",33572
"cty40107","Okfuskee County, OK",33569
"cty48401","Rusk County, TX",33564
"cty08089","Otero County, CO",33559
"cty18155","Switzerland County, IN",33557
"cty26097","Mackinac County, MI",33548
"cty17145","Perry County, IL",33545
"cty18113","Noble County, IN",33542
"cty42087","Mifflin County, PA",33533
"cty13117","Forsyth County, GA",33523
"cty17165","Saline County, IL",33506
"cty48075","Childress County, TX",33505
"cty12067","Lafayette County, FL",33498
"cty36047","Kings County, NY",33493
"cty24037","St. Mary's County, MD",33485
"cty46007","Bennett County, SD",33477
"cty40079","Le Flore County, OK",33476
"cty29101","Johnson County, MO",33471
"cty40005","Atoka County, OK",33454
"cty42013","Blair County, PA",33454
"cty29059","Dallas County, MO",33453
"cty36023","Cortland County, NY",33451
"cty48177","Gonzales County, TX",33448
"cty20169","Saline County, KS",33442
"cty41065","Wasco County, OR",33437
"cty22063","Livingston Parish, LA",33435
"cty29091","Howell County, MO",33434
"cty34005","Burlington County, NJ",33420
"cty29039","Cedar County, MO",33418
"cty29145","Newton County, MO",33415
"cty20005","Atchison County, KS",33415
"cty12087","Monroe County, FL",33414
