"cty","Name","Household_Income_rP_gP_p25"
"cty19093","Ida County, IA",48127
"cty38003","Barnes County, ND",48067
"cty27149","Stevens County, MN",48057
"cty30051","Liberty County, MT",48043
"cty31135","Perkins County, NE",48030
"cty20195","Trego County, KS",47974
"cty46015","Brule County, SD",47897
"cty19023","Butler County, IA",47852
"cty31059","Fillmore County, NE",47844
"cty27133","Rock County, MN",47836
"cty48003","Andrews County, TX",47824
"cty27063","Jackson County, MN",47814
"cty19043","Clayton County, IA",47757
"cty38027","Eddy County, ND",47688
"cty31169","Thayer County, NE",47676
"cty16071","Oneida County, ID",47632
"cty19089","Howard County, IA",47578
"cty49029","Morgan County, UT",47569
"cty40003","Alfalfa County, OK",47556
"cty31099","Kearney County, NE",47549
"cty19143","Osceola County, IA",47544
"cty56023","Lincoln County, WY",47485
"cty40093","Major County, OK",47480
"cty38097","Traill County, ND",47452
"cty49033","Rich County, UT",47408
"cty19151","Pocahontas County, IA",47401
"cty31057","Dundy County, NE",47351
"cty27015","Brown County, MN",47342
"cty48103","Crane County, TX",47304
"cty56019","Johnson County, WY",47295
"cty48205","Hartley County, TX",47290
"cty31017","Brown County, NE",47211
"cty27145","Stearns County, MN",47134
"cty30057","Madison County, MT",47118
"cty31121","Merrick County, NE",47115
"cty19081","Hancock County, IA",47103
"cty38077","Richland County, ND",47023
"cty27157","Wabasha County, MN",47021
"cty20063","Gove County, KS",47002
"cty31069","Garden County, NE",46998
"cty30045","Judith Basin County, MT",46987
"cty19075","Grundy County, IA",46945
"cty31071","Garfield County, NE",46940
"cty19147","Palo Alto County, IA",46896
"cty31113","Logan County, NE",46872
"cty20117","Marshall County, KS",46863
"cty31167","Stanton County, NE",46849
"cty31007","Banner County, NE",46827
"cty49047","Uintah County, UT",46779
"cty31177","Washington County, NE",46779
"cty49027","Millard County, UT",46772
"cty19165","Shelby County, IA",46725
"cty40129","Roger Mills County, OK",46676
"cty31159","Seward County, NE",46667
"cty56039","Teton County, WY",46571
"cty32009","Esmeralda County, NV",46534
"cty20183","Smith County, KS",46524
"cty31097","Johnson County, NE",46424
"cty27107","Norman County, MN",46411
"cty55093","Pierce County, WI",46404
"cty48045","Briscoe County, TX",46286
"cty20069","Gray County, KS",46268
"cty19017","Bremer County, IA",46233
"cty27101","Murray County, MN",46202
"cty46011","Brookings County, SD",46173
"cty20153","Rawlins County, KS",46169
"cty16007","Bear Lake County, ID",46153
"cty42113","Sullivan County, PA",46148
"cty19019","Buchanan County, IA",46139
"cty31137","Phelps County, NE",46127
"cty30043","Jefferson County, MT",46083
"cty27041","Douglas County, MN",46078
"cty27093","Meeker County, MN",46050
"cty30073","Pondera County, MT",46016
"cty27153","Todd County, MN",45995
"cty16041","Franklin County, ID",45979
"cty19095","Iowa County, IA",45935
"cty19091","Humboldt County, IA",45931
"cty27159","Wadena County, MN",45898
"cty38015","Burleigh County, ND",45894
"cty31161","Sheridan County, NE",45877
"cty49001","Beaver County, UT",45858
"cty46123","Tripp County, SD",45825
"cty20051","Ellis County, KS",45775
"cty19005","Allamakee County, IA",45732
"cty48383","Reagan County, TX",45728
"cty30015","Chouteau County, MT",45646
"cty27039","Dodge County, MN",45599
"cty31175","Valley County, NE",45570
"cty20193","Thomas County, KS",45564
"cty20147","Phillips County, KS",45543
"cty31081","Hamilton County, NE",45536
"cty19105","Jones County, IA",45527
"cty27113","Pennington County, MN",45506
"cty31123","Morrill County, NE",45467
"cty53043","Lincoln County, WA",45462
"cty20187","Stanton County, KS",45442
"cty20201","Washington County, KS",45424
"cty27077","Lake of the Woods County, MN",45362
"cty46037","Day County, SD",45359
"cty48495","Winkler County, TX",45347
"cty48095","Concho County, TX",45339
"cty49055","Wayne County, UT",45307
"cty35011","De Baca County, NM",45304
"cty46117","Stanley County, SD",45302
"cty16081","Teton County, ID",45293
"cty46051","Grant County, SD",45291
"cty20135","Ness County, KS",45272
"cty30009","Carbon County, MT",45246
"cty49051","Wasatch County, UT",45223
"cty38099","Walsh County, ND",45205
"cty27151","Swift County, MN",45198
"cty17013","Calhoun County, IL",45178
"cty46033","Custer County, SD",45128
"cty48319","Mason County, TX",45123
"cty30099","Teton County, MT",45098
"cty31141","Platte County, NE",45095
"cty49013","Duchesne County, UT",45080
"cty31021","Burt County, NE",45052
"cty48421","Sherman County, TX",45045
"cty31093","Howard County, NE",45045
"cty31133","Pawnee County, NE",45027
"cty46127","Union County, SD",44990
"cty19011","Benton County, IA",44942
"cty48475","Ward County, TX",44917
"cty56005","Campbell County, WY",44903
"cty36079","Putnam County, NY",44829
"cty48447","Throckmorton County, TX",44808
"cty56035","Sublette County, WY",44783
"cty48357","Ochiltree County, TX",44767
"cty34003","Bergen County, NJ",44748
"cty20017","Chase County, KS",44725
"cty55065","Lafayette County, WI",44715
"cty30065","Musselshell County, MT",44651
"cty19189","Winnebago County, IA",44632
"cty08117","Summit County, CO",44584
"cty27029","Clearwater County, MN",44558
"cty27055","Houston County, MN",44552
"cty27103","Nicollet County, MN",44511
"cty16029","Caribou County, ID",44506
"cty19077","Guthrie County, IA",44493
"cty48501","Yoakum County, TX",44475
"cty27019","Carver County, MN",44436
"cty08009","Baca County, CO",44436
"cty19047","Crawford County, IA",44266
"cty56031","Platte County, WY",44240
"cty31045","Dawes County, NE",44233
"cty31095","Jefferson County, NE",44225
"cty16065","Madison County, ID",44223
"cty08061","Kiowa County, CO",44204
"cty55043","Grant County, WI",44200
"cty40007","Beaver County, OK",44175
"cty27033","Cottonwood County, MN",44145
"cty19063","Emmet County, IA",44127
"cty56009","Converse County, WY",44116
"cty46083","Lincoln County, SD",44115
"cty48443","Terrell County, TX",44074
"cty02230","Skagway Municipality, AK",44062
"cty18087","LaGrange County, IN",44024
"cty19065","Fayette County, IA",44022
"cty27073","Lac qui Parle County, MN",44012
"cty19061","Dubuque County, IA",43958
"cty19031","Cedar County, IA",43958
"cty19097","Jackson County, IA",43953
"cty48065","Carson County, TX",43948
"cty55011","Buffalo County, WI",43927
"cty27023","Chippewa County, MN",43913
"cty31151","Saline County, NE",43909
"cty08063","Kit Carson County, CO",43897
"cty20123","Mitchell County, KS",43885
"cty20137","Norton County, KS",43866
