"GEO_ID","NAME","B19083_001E","B19083_001M"
"id","Geographic Area Name","Estimate!!Gini Index","Margin of Error!!Gini Index"
"0500000US10001","Kent County, Delaware","0.4159","0.0243"
"0500000US10003","New Castle County, Delaware","0.4470","0.0164"
"0500000US10005","Sussex County, Delaware","0.4621","0.0190"
"0500000US11001","District of Columbia, District of Columbia","0.5115","0.0099"
"0500000US12001","Alachua County, Florida","0.5034","0.0212"
"0500000US12005","Bay County, Florida","0.4229","0.0228"
"0500000US12009","Brevard County, Florida","0.4391","0.0123"
"0500000US12011","Broward County, Florida","0.4891","0.0087"
"0500000US12015","Charlotte County, Florida","0.4646","0.0228"
"0500000US12017","Citrus County, Florida","0.4534","0.0257"
"0500000US12019","Clay County, Florida","0.3877","0.0270"
"0500000US12021","Collier County, Florida","0.5380","0.0163"
"0500000US12023","Columbia County, Florida","0.4516","0.0270"
"0500000US12031","Duval County, Florida","0.4653","0.0122"
"0500000US12033","Escambia County, Florida","0.4679","0.0217"
"0500000US12035","Flagler County, Florida","0.4408","0.0266"
"0500000US12053","Hernando County, Florida","0.4112","0.0163"
"0500000US12055","Highlands County, Florida","0.4630","0.0387"
"0500000US12057","Hillsborough County, Florida","0.4729","0.0076"
"0500000US12061","Indian River County, Florida","0.5008","0.0309"
"0500000US12069","Lake County, Florida","0.4249","0.0197"
"0500000US12071","Lee County, Florida","0.4709","0.0125"
"0500000US12073","Leon County, Florida","0.4878","0.0171"
"0500000US12081","Manatee County, Florida","0.4705","0.0176"
"0500000US12083","Marion County, Florida","0.4436","0.0231"
"0500000US12085","Martin County, Florida","0.5262","0.0343"
"0500000US12086","Miami-Dade County, Florida","0.5151","0.0090"
"0500000US12087","Monroe County, Florida","0.5067","0.0309"
"0500000US12089","Nassau County, Florida","0.4074","0.0228"
"0500000US12091","Okaloosa County, Florida","0.4334","0.0263"
"0500000US12095","Orange County, Florida","0.4687","0.0132"
"0500000US12097","Osceola County, Florida","0.4311","0.0212"
"0500000US12099","Palm Beach County, Florida","0.5117","0.0093"
"0500000US12101","Pasco County, Florida","0.4448","0.0135"
"0500000US12103","Pinellas County, Florida","0.4838","0.0108"
"0500000US12105","Polk County, Florida","0.4462","0.0137"
"0500000US12107","Putnam County, Florida","0.4251","0.0377"
"0500000US12109","St. Johns County, Florida","0.4553","0.0187"
"0500000US12111","St. Lucie County, Florida","0.4219","0.0233"
"0500000US12113","Santa Rosa County, Florida","0.4478","0.0251"
"0500000US12115","Sarasota County, Florida","0.4695","0.0173"
"0500000US12117","Seminole County, Florida","0.4521","0.0163"
"0500000US12119","Sumter County, Florida","0.4619","0.0434"
"0500000US12127","Volusia County, Florida","0.4510","0.0147"
"0500000US12131","Walton County, Florida","0.4424","0.0335"
"0500000US13013","Barrow County, Georgia","0.3773","0.0305"
"0500000US13015","Bartow County, Georgia","0.4456","0.0330"
"0500000US13021","Bibb County, Georgia","0.5203","0.0280"
"0500000US13031","Bulloch County, Georgia","0.4256","0.0424"
"0500000US13045","Carroll County, Georgia","0.4048","0.0289"
"0500000US13047","Catoosa County, Georgia","0.4003","0.0353"
"0500000US13051","Chatham County, Georgia","0.4872","0.0233"
"0500000US13057","Cherokee County, Georgia","0.3998","0.0251"
"0500000US13059","Clarke County, Georgia","0.5403","0.0364"
"0500000US13063","Clayton County, Georgia","0.3946","0.0174"
"0500000US13067","Cobb County, Georgia","0.4513","0.0119"
"0500000US13073","Columbia County, Georgia","0.3992","0.0361"
"0500000US13077","Coweta County, Georgia","0.4055","0.0233"
"0500000US13089","DeKalb County, Georgia","0.4927","0.0118"
"0500000US13095","Dougherty County, Georgia","0.5144","0.0393"
"0500000US13097","Douglas County, Georgia","0.4219","0.0278"
"0500000US13113","Fayette County, Georgia","0.4395","0.0282"
"0500000US13115","Floyd County, Georgia","0.4652","0.0353"
"0500000US13117","Forsyth County, Georgia","0.3939","0.0170"
"0500000US13121","Fulton County, Georgia","0.5341","0.0122"
"0500000US13127","Glynn County, Georgia","0.4831","0.0348"
"0500000US13135","Gwinnett County, Georgia","0.4191","0.0147"
"0500000US13139","Hall County, Georgia","0.4761","0.0303"
"0500000US13151","Henry County, Georgia","0.3915","0.0224"
"0500000US13153","Houston County, Georgia","0.4130","0.0240"
"0500000US13157","Jackson County, Georgia","0.4659","0.0434"
"0500000US13185","Lowndes County, Georgia","0.4618","0.0325"
"0500000US13215","Muscogee County, Georgia","0.5213","0.0323"
"0500000US13217","Newton County, Georgia","0.4280","0.0382"
"0500000US13223","Paulding County, Georgia","0.3543","0.0254"
"0500000US13245","Richmond County, Georgia","0.4550","0.0220"
"0500000US13247","Rockdale County, Georgia","0.4303","0.0372"
"0500000US13255","Spalding County, Georgia","0.4582","0.0400"
"0500000US13285","Troup County, Georgia","0.4836","0.0396"
"0500000US13295","Walker County, Georgia","0.4179","0.0323"
"0500000US13297","Walton County, Georgia","0.4040","0.0254"
"0500000US13313","Whitfield County, Georgia","0.4602","0.0441"
"0500000US15001","Hawaii County, Hawaii","0.4623","0.0259"
"0500000US15003","Honolulu County, Hawaii","0.4349","0.0087"
"0500000US15007","Kauai County, Hawaii","0.4163","0.0329"
"0500000US15009","Maui County, Hawaii","0.4333","0.0261"
"0500000US16001","Ada County, Idaho","0.4411","0.0176"
"0500000US16005","Bannock County, Idaho","0.4208","0.0214"
"0500000US16019","Bonneville County, Idaho","0.4540","0.0299"
"0500000US16027","Canyon County, Idaho","0.3954","0.0240"
"0500000US16055","Kootenai County, Idaho","0.3897","0.0212"
"0500000US16083","Twin Falls County, Idaho","0.4365","0.0470"
"0500000US17001","Adams County, Illinois","0.4054","0.0361"
"0500000US17019","Champaign County, Illinois","0.4845","0.0186"
"0500000US17031","Cook County, Illinois","0.5074","0.0062"
"0500000US17037","DeKalb County, Illinois","0.4383","0.0220"
"0500000US17043","DuPage County, Illinois","0.4483","0.0078"
"0500000US17089","Kane County, Illinois","0.4399","0.0152"
"0500000US17091","Kankakee County, Illinois","0.3997","0.0197"
"0500000US17093","Kendall County, Illinois","0.3288","0.0360"
"0500000US17097","Lake County, Illinois","0.4773","0.0097"
"0500000US17099","LaSalle County, Illinois","0.4215","0.0186"
"0500000US17111","McHenry County, Illinois","0.3961","0.0164"
"0500000US17113","McLean County, Illinois","0.4780","0.0261"
"0500000US17115","Macon County, Illinois","0.4834","0.0267"
"0500000US17119","Madison County, Illinois","0.4452","0.0200"
"0500000US17143","Peoria County, Illinois","0.4975","0.0264"
"0500000US17161","Rock Island County, Illinois","0.4196","0.0224"
"0500000US17163","St. Clair County, Illinois","0.4625","0.0195"
"0500000US17167","Sangamon County, Illinois","0.4489","0.0236"
"0500000US17179","Tazewell County, Illinois","0.4000","0.0188"
"0500000US17183","Vermilion County, Illinois","0.4424","0.0321"
"0500000US17197","Will County, Illinois","0.4044","0.0106"
"0500000US17199","Williamson County, Illinois","0.4388","0.0354"
"0500000US17201","Winnebago County, Illinois","0.4385","0.0181"
"0500000US18003","Allen County, Indiana","0.4437","0.0222"
"0500000US18005","Bartholomew County, Indiana","0.4289","0.0328"
"0500000US18011","Boone County, Indiana","0.5494","0.0481"
"0500000US18019","Clark County, Indiana","0.4190","0.0445"
